-20, -10, 20, -10
-20, 10, 20, 10
-20, -10, -20, 10
20, -10, 20, 10

-17, 8, -12, 8
-17, 4, -12, 4
-17, 8, -17, 4
-12, 8, -12, 4

-16, 1, -12, 1
-16, -8, -12, -8
-16, 1, -16, -8
-12, 1, -12, -8

-8, 5, -6, 5
-8, -4, -6, -4
-8, 5, -8, -4
-6, 5, -6, -4

13, 8, 17, 8
13, 0, 17, 0
17, 8, 17, 0
13, 8, 13, 6
13, 6, 16, 6
13, 2, 13, 0
13, 2, 16, 2
16, 6, 16, 2


0, -3, 1, -3
0, -8, 1, -8
0, -3, 0, -8
1, -3, 1, -7

1, -7, 4, -7
1, -8, 5, -8

4, -3, 9, -3
5, -4, 8, -4
4, -3, 4, -7
5, -4, 5, -8

8, -3, 9, -3
8, -8, 9, -8
8, -4, 8, -8
9, -3, 9, -7

9, -7, 12, -7
9, -8, 13, -8

12, -5, 17, -5
12, -8, 14, -8
12, -5, 12, -7
14, -6, 14, -8
14, -6, 17, -6
17, -5, 17, -6

