-40, -20, 40, -20
-40, 20, 40, 20
-40, -20, -40, 20
40, -20, 40, 20

-35, 15, -14, 15
-35, 10, -14, 10
-35, 15, -35, 10
-14, 15, -14, 10

-33, 1, -15, 1
-33, -11, -15, -11
-33, 1, -33, -11
-15, 1, -15, -11

-10, 5, -3, 5
-10, -7, -6, -4
-10, 5, -10, -7
-3, 5, -3, -1

15, 14, 34, 14
15, 0, 34, 0
34, 14, 34, 0
15, 9, 31, 9
15, 2, 15, 0
15, 2, 31, 2
31, 9, 31, 2



0, -10, 4, -13

4, -3, 9, -3
6, -7, 8, -7
4, -3, 0, -10
6, -7, 4, -13

8, -15, 11, -15
8, -7, 8, -15
11, -3, 13, -12

13, -12, 20, -12
11, -15, 20, -15

20, -8, 33, -8
20, -15, 24, -15
20, -8, 20, -12
24, -11, 24, -15
24, -11, 33, -11
33,-8, 33, -11

